feature,importance
TOURS_weather_favorability,0.6260209092832293
TOURS_precipitation,0.19567804983425208
TOURS_precip_intensity,0.09049945221434942
TOURS_temp_max,0.08099189367182376
TOURS_humidity,0.0029601152335784336
TOURS_temp_range,0.0017183493731803032
BUDAPEST_temp_mean_rolling_max_7d,0.001039580606692659
DAY_OF_YEAR_sin,0.0006323429645967401
BASEL_temp_mean_rolling_min_3d,0.00022633472220469835
TOURS_temp_mean,6.447661672844594e-05
DAY_OF_YEAR,4.397418591557239e-05
TOURS_temp_anomaly,3.6233374454030476e-05
TOURS_comfort_index,3.0496770518879133e-05
MALMO_temp_mean_rolling_max_7d,1.8740271127276744e-05
PERPIGNAN_temp_mean_rolling_min_7d,1.2451935083547926e-05
DUSSELDORF_comfort_index,1.1347077698813397e-05
DUSSELDORF_temp_mean,5.6449353211435565e-06
BASEL_temp_mean_rolling_max_3d,3.796569530377796e-06
HEATHROW_temp_mean_rolling_min_7d,2.8637135358845826e-06
WEEK_OF_YEAR,1.1568395615195456e-06
HEATHROW_temp_mean_rolling_mean_7d,9.616395448045643e-07
HEATHROW_temp_max,1.3600438988677736e-07
STOCKHOLM_temp_mean_rolling_min_7d,1.2941358562754043e-07
DE_BILT_temp_max,8.722351547020295e-08
BASEL_temp_max,8.505405002130919e-08
STOCKHOLM_temp_mean_rolling_max_7d,6.926482098213294e-08
MONTELIMAR_temp_mean_rolling_mean_3d,6.147437687327776e-08
MONTELIMAR_temp_mean,6.08544254752732e-08
DE_BILT_temp_mean_rolling_min_7d,5.6788846737932434e-08
BASEL_temp_max_rolling_mean_3d,4.602603077048217e-08
PCA_1,2.5020460466466397e-08
TOURS_temp_mean_rolling_min_3d,1.6994540366646572e-08
MONTELIMAR_comfort_index,1.448285994154219e-08
MAASTRICHT_comfort_index,1.3641061688894757e-08
DE_BILT_temp_mean_rolling_mean_7d,7.451407987803316e-09
OSLO_temp_mean_rolling_mean_3d,6.09312353680074e-09
HEATHROW_comfort_index,4.277261972512838e-09
BASEL_temp_max_rolling_max_7d,2.7273849116421693e-09
KASSEL_temp_mean_rolling_max_7d,1.825710657690991e-09
MONTELIMAR_temp_mean_rolling_mean_7d,8.200460519537714e-10
DRESDEN_temp_mean_rolling_max_7d,7.604949935604828e-10
HEATHROW_temp_anomaly,5.485670396320193e-10
MAASTRICHT_temp_mean_rolling_min_7d,4.494236999940671e-10
DRESDEN_temp_mean_rolling_min_3d,4.080595094710255e-10
PERPIGNAN_temp_mean,2.5838453102196216e-10
KASSEL_comfort_index,1.3500373207289357e-10
BASEL_temp_max_rolling_min_3d,1.1054496809399589e-10
HEATHROW_temp_mean_rolling_mean_3d,2.232734049047626e-11
DUSSELDORF_temp_mean_rolling_max_7d,1.603340173514025e-11
BASEL_temp_max_rolling_max_3d,7.086589098784075e-12
MONTELIMAR_temp_mean_lag_1d,6.722878368439606e-12
TOURS_temp_mean_rolling_max_7d,3.0204265865335993e-12
TOURS_global_radiation,1.6575419823003772e-12
DUSSELDORF_temp_mean_rolling_mean_3d,7.447379186830038e-13
PERPIGNAN_temp_mean_rolling_max_3d,6.120059504940998e-13
HEATHROW_temp_mean,2.242986812239957e-13
DE_BILT_temp_mean_lag_1d,1.5036079700785766e-13
DUSSELDORF_temp_max,5.531030835801407e-14
BASEL_temp_pressure_interaction,3.83128598215933e-14
BASEL_comfort_index,7.940350380272069e-15
HEATHROW_temp_mean_rolling_max_7d,5.017455469492872e-15
HEATHROW_temp_mean_rolling_max_3d,4.107941270866211e-15
MAASTRICHT_temp_max,1.5112218758502723e-15
BUDAPEST_temp_max_rolling_max_7d,1.0130013315816478e-15
ROMA_temp_mean_rolling_min_7d,4.547538418833971e-16
MALMO_temp_mean_rolling_mean_3d,3.7266171927184654e-16
OSLO_temp_mean_rolling_min_7d,2.1878440683002e-16
MUENCHEN_temp_mean_rolling_min_3d,1.3709444122699663e-16
BASEL_temp_mean_rolling_min_7d,1.122434178374895e-16
KASSEL_temp_max,7.906872428710792e-17
OSLO_temp_mean_rolling_max_7d,4.1631844681170746e-17
TOURS_temp_mean_rolling_mean_3d,3.502529306496118e-17
LJUBLJANA_temp_mean_rolling_max_7d,2.7678865674964377e-17
DE_BILT_temp_pressure_interaction,2.2661536971621984e-17
BASEL_temp_mean_rolling_max_7d,1.7737964386135384e-17
OSLO_temp_mean_rolling_max_3d,9.255390130939938e-18
MONTELIMAR_temp_max,8.336711400803912e-18
HEATHROW_temp_mean_lag_1d,6.95246782263884e-18
DRESDEN_temp_mean_rolling_min_7d,0.0
SEASON_Spring,0.0
DE_BILT_temp_mean,0.0
SEASON,0.0
WEEK_cos,0.0
OSLO_temp_max,0.0
SEASON_Autumn,0.0
SEASON_Winter,0.0
SEASON_Summer,0.0
MONTELIMAR_temp_mean_rolling_min_3d,0.0
MAASTRICHT_temp_mean_rolling_mean_3d,0.0
MONTELIMAR_temp_mean_rolling_max_7d,0.0
BUDAPEST_temp_mean_rolling_min_7d,0.0
TOURS_temp_mean_rolling_max_3d,0.0
DE_BILT_temp_mean_rolling_max_3d,0.0
KASSEL_temp_mean_rolling_max_3d,0.0
HEATHROW_temp_mean_rolling_min_3d,0.0
LJUBLJANA_temp_mean_rolling_min_7d,0.0
KASSEL_temp_mean_rolling_min_7d,0.0
BASEL_temp_max_rolling_mean_7d,0.0
MONTELIMAR_temp_mean_rolling_min_7d,0.0
