feature,importance
TOURS_weather_favorability,0.68149906
TOURS_precipitation,0.20388187
TOURS_temp_max,0.05767195
BUDAPEST_temp_mean_rolling_max_7d,0.034286983
TOURS_humidity,0.015736382
TOURS_temp_range,0.0016337911
TOURS_comfort_index,0.001585493
DAY_OF_YEAR_sin,0.0013756767
DAY_OF_YEAR,0.0009631236
DE_BILT_temp_mean,0.0006667514
HEATHROW_temp_mean,0.00030158
HEATHROW_temp_max,0.00017491136
HEATHROW_temp_mean_rolling_min_7d,0.00015842331
PERPIGNAN_temp_mean,2.4063076e-05
BASEL_temp_mean_rolling_min_3d,1.8735142e-05
TOURS_global_radiation,1.7016111e-05
TOURS_temp_mean_rolling_max_7d,4.201625e-06
DUSSELDORF_temp_mean,0.0
DE_BILT_temp_max,0.0
BASEL_temp_max,0.0
SEASON_Winter,0.0
SEASON_Spring,0.0
SEASON_Summer,0.0
SEASON_Autumn,0.0
SEASON,0.0
WEEK_OF_YEAR,0.0
TOURS_temp_mean,0.0
DUSSELDORF_temp_max,0.0
KASSEL_temp_max,0.0
MAASTRICHT_temp_max,0.0
WEEK_cos,0.0
BASEL_comfort_index,0.0
DUSSELDORF_comfort_index,0.0
MAASTRICHT_comfort_index,0.0
KASSEL_comfort_index,0.0
HEATHROW_comfort_index,0.0
HEATHROW_temp_anomaly,0.0
TOURS_temp_anomaly,0.0
OSLO_temp_max,0.0
MONTELIMAR_temp_mean,0.0
MONTELIMAR_temp_max,0.0
TOURS_precip_intensity,0.0
MONTELIMAR_temp_anomaly,0.0
MONTELIMAR_comfort_index,0.0
BASEL_temp_mean_rolling_max_3d,0.0
HEATHROW_temp_mean_rolling_mean_3d,0.0
HEATHROW_temp_mean_rolling_min_3d,0.0
DRESDEN_temp_mean_rolling_min_3d,0.0
DE_BILT_temp_mean_rolling_max_3d,0.0
MAASTRICHT_temp_mean_rolling_mean_3d,0.0
MALMO_temp_mean_rolling_mean_3d,0.0
MONTELIMAR_temp_mean_rolling_mean_3d,0.0
MONTELIMAR_temp_mean_rolling_min_3d,0.0
MUENCHEN_temp_mean_rolling_min_3d,0.0
OSLO_temp_mean_rolling_mean_3d,0.0
HEATHROW_temp_mean_rolling_max_3d,0.0
DUSSELDORF_temp_mean_rolling_mean_3d,0.0
PERPIGNAN_temp_mean_rolling_max_3d,0.0
TOURS_temp_mean_rolling_mean_3d,0.0
TOURS_temp_mean_rolling_max_3d,0.0
TOURS_temp_mean_rolling_min_3d,0.0
BASEL_temp_max_rolling_min_3d,0.0
BASEL_temp_max_rolling_max_3d,0.0
BASEL_temp_mean_rolling_min_7d,0.0
BASEL_temp_max_rolling_mean_3d,0.0
BASEL_temp_mean_rolling_max_7d,0.0
BUDAPEST_temp_mean_rolling_min_7d,0.0
DE_BILT_temp_mean_rolling_mean_7d,0.0
DE_BILT_temp_mean_rolling_min_7d,0.0
DRESDEN_temp_mean_rolling_min_7d,0.0
DRESDEN_temp_mean_rolling_max_7d,0.0
OSLO_temp_mean_rolling_max_3d,0.0
KASSEL_temp_mean_rolling_max_3d,0.0
HEATHROW_temp_mean_rolling_mean_7d,0.0
DUSSELDORF_temp_mean_rolling_max_7d,0.0
KASSEL_temp_mean_rolling_min_7d,0.0
HEATHROW_temp_mean_rolling_max_7d,0.0
LJUBLJANA_temp_mean_rolling_min_7d,0.0
LJUBLJANA_temp_mean_rolling_max_7d,0.0
MAASTRICHT_temp_mean_rolling_min_7d,0.0
KASSEL_temp_mean_rolling_max_7d,0.0
MALMO_temp_mean_rolling_min_7d,0.0
MALMO_temp_mean_rolling_max_7d,0.0
MONTELIMAR_temp_mean_rolling_mean_7d,0.0
MONTELIMAR_temp_mean_rolling_min_7d,0.0
MONTELIMAR_temp_mean_rolling_max_7d,0.0
OSLO_temp_mean_rolling_min_7d,0.0
OSLO_temp_mean_rolling_max_7d,0.0
MAASTRICHT_temp_mean_rolling_max_7d,0.0
PERPIGNAN_temp_mean_rolling_min_7d,0.0
PERPIGNAN_temp_mean_rolling_max_7d,0.0
STOCKHOLM_temp_mean_rolling_min_7d,0.0
ROMA_temp_mean_rolling_min_7d,0.0
STOCKHOLM_temp_mean_rolling_max_7d,0.0
TOURS_temp_mean_rolling_min_7d,0.0
BASEL_temp_max_rolling_mean_7d,0.0
BASEL_temp_max_rolling_max_7d,0.0
BUDAPEST_temp_max_rolling_min_7d,0.0
BUDAPEST_temp_max_rolling_max_7d,0.0
DE_BILT_temp_mean_lag_1d,0.0
HEATHROW_temp_mean_lag_1d,0.0
MONTELIMAR_temp_mean_lag_1d,0.0
BASEL_temp_pressure_interaction,0.0
DE_BILT_temp_pressure_interaction,0.0
PCA_1,0.0
